product_category_name_english,frequency,monetary,recency
agro_industry_and_commerce,177,70566.1,3
air_conditioning,246,53323.56,4
art,195,23657.3,2
arts_and_craftmanship,23,1814.01,5
audio,348,50570.6,1
auto,3809,578849.35,1
baby,2809,400421.84,1
bed_bath_table,9271,1023300.77,1
books_general_interest,495,45256.25,2
books_imported,50,4418.86,22
books_technical,256,18702.23,6
cds_dvds_musicals,12,730.0,131
christmas_supplies,125,8737.84,10
cine_photo,63,6674.47,4
computers,177,218684.14,7
computers_accessories,6529,888613.62,0
consoles_games,1018,148003.37,1
construction_tools_construction,736,142108.49,2
construction_tools_lights,242,39957.0,1
construction_tools_safety,158,38394.22,5
cool_stuff,3556,609964.13,1
costruction_tools_garden,190,25096.28,1
costruction_tools_tools,97,15903.95,7
diapers_and_hygiene,25,1500.79,3
drinks,287,21529.84,2
dvds_blu_ray,56,4542.59,6
electronics,2517,155043.93,3
fashio_female_clothing,36,2634.94,7
fashion_bags_accessories,1821,149464.39,1
fashion_childrens_clothes,7,519.95,87
fashion_male_clothing,106,10452.33,12
fashion_shoes,235,23001.46,8
fashion_sport,26,2094.52,10
fashion_underwear_beach,117,9305.95,20
fixed_telephony,212,55315.21,16
flowers,29,1110.04,41
food,441,28731.15,0
food_drink,221,14942.88,6
furniture_bedroom,90,19051.8,4
furniture_decor,6303,711493.09,1
furniture_living_room,414,67350.7,5
furniture_mattress_and_upholstery,37,4323.38,57
garden_tools,3447,470360.27999999997,2
health_beauty,8649,1233211.61,0
home_appliances,747,78832.48,4
home_appliances_2,227,107953.95,6
home_comfort_2,24,760.27,32
home_confort,392,58008.450000000004,5
home_construction,483,81407.57,3
housewares,5743,615628.69,1
industry_commerce_and_business,231,38169.81,3
kitchen_dining_laundry_garden_furniture,241,45531.98,0
la_cuisine,13,2054.99,134
luggage_accessories,1019,138701.63,2
market_place,274,27795.77,7
music,38,6034.35,10
musical_instruments,611,184315.74,7
office_furniture,1254,268154.31,1
party_supplies,38,4465.1900000000005,0
perfumery,3088,390454.45,2
pet_shop,1688,211695.64,3
security_and_services,2,283.28999999999996,346
signaling_and_security,138,21315.05,5
small_appliances,608,182444.22,7
small_appliances_home_oven_and_coffee,72,46589.56,6
sports_leisure,7528,954626.07,0
stationery,2264,223788.69,2
tablets_printing_image,79,7528.41,81
telephony,4092,309762.23,1
toys,3804,471197.48,0
watches_gifts,5493,1165898.98,0
